run,competition,variant,k,cum_hours,score,medal,lower_better,file,note,metric_version,grader_sha256,mlebench_version,mlebench_commit
20260808_003820_jigsaw-kb-s43,jigsaw-toxic-comment-classification-challenge,uncapped,4,7.98,0.98672,silver,0,top4ens-total_run_time7.98h.csv,,mlebench-unmodified,01f608d55ff5df1ae6400e45873c67dc18e07feb6e14be76601e9b34b9548051,1.0.0,
20260808_003820_jigsaw-kb-s43,jigsaw-toxic-comment-classification-challenge,uncapped,5,8.23,0.98621,above-med,0,top5ens-total_run_time8.23h.csv,,mlebench-unmodified,01f608d55ff5df1ae6400e45873c67dc18e07feb6e14be76601e9b34b9548051,1.0.0,
20260808_003820_jigsaw-kb-s43,jigsaw-toxic-comment-classification-challenge,uncapped,6,8.35,0.98559,above-med,0,top6ens-total_run_time8.35h.csv,,mlebench-unmodified,01f608d55ff5df1ae6400e45873c67dc18e07feb6e14be76601e9b34b9548051,1.0.0,
20260809_224437_jigsaw-base-s44,jigsaw-toxic-comment-classification-challenge,capped,1,4.96,0.987,silver,0,top1ens-total_run_time4.96h.csv,,mlebench-unmodified,01f608d55ff5df1ae6400e45873c67dc18e07feb6e14be76601e9b34b9548051,1.0.0,
20260809_224437_jigsaw-base-s44,jigsaw-toxic-comment-classification-challenge,capped,2,9.9,0.98727,silver,0,top2ens-total_run_time9.9h.csv,,mlebench-unmodified,01f608d55ff5df1ae6400e45873c67dc18e07feb6e14be76601e9b34b9548051,1.0.0,
20260809_224437_jigsaw-base-s44,jigsaw-toxic-comment-classification-challenge,capped,3,10.48,0.98748,gold,0,top3ens-total_run_time10.48h.csv,,mlebench-unmodified,01f608d55ff5df1ae6400e45873c67dc18e07feb6e14be76601e9b34b9548051,1.0.0,
20260809_224437_jigsaw-base-s44,jigsaw-toxic-comment-classification-challenge,capped,4,10.99,0.98683,silver,0,top4ens-total_run_time10.99h.csv,,mlebench-unmodified,01f608d55ff5df1ae6400e45873c67dc18e07feb6e14be76601e9b34b9548051,1.0.0,
20260809_224437_jigsaw-base-s44,jigsaw-toxic-comment-classification-challenge,capped,6,11.73,0.98569,above-med,0,top6ens-total_run_time11.73h.csv,,mlebench-unmodified,01f608d55ff5df1ae6400e45873c67dc18e07feb6e14be76601e9b34b9548051,1.0.0,
20260809_224437_jigsaw-base-s44,jigsaw-toxic-comment-classification-challenge,uncapped,1,4.96,0.987,silver,0,top1ens-total_run_time4.96h.csv,,mlebench-unmodified,01f608d55ff5df1ae6400e45873c67dc18e07feb6e14be76601e9b34b9548051,1.0.0,
20260809_224437_jigsaw-base-s44,jigsaw-toxic-comment-classification-challenge,uncapped,2,9.9,0.98727,silver,0,top2ens-total_run_time9.9h.csv,,mlebench-unmodified,01f608d55ff5df1ae6400e45873c67dc18e07feb6e14be76601e9b34b9548051,1.0.0,
20260809_224437_jigsaw-base-s44,jigsaw-toxic-comment-classification-challenge,uncapped,3,10.48,0.98748,gold,0,top3ens-total_run_time10.48h.csv,,mlebench-unmodified,01f608d55ff5df1ae6400e45873c67dc18e07feb6e14be76601e9b34b9548051,1.0.0,
20260809_224437_jigsaw-base-s44,jigsaw-toxic-comment-classification-challenge,uncapped,4,10.99,0.98683,silver,0,top4ens-total_run_time10.99h.csv,,mlebench-unmodified,01f608d55ff5df1ae6400e45873c67dc18e07feb6e14be76601e9b34b9548051,1.0.0,
20260809_224437_jigsaw-base-s44,jigsaw-toxic-comment-classification-challenge,uncapped,5,11.57,0.98603,above-med,0,top5ens-total_run_time11.57h.csv,,mlebench-unmodified,01f608d55ff5df1ae6400e45873c67dc18e07feb6e14be76601e9b34b9548051,1.0.0,
20260809_224437_jigsaw-base-s44,jigsaw-toxic-comment-classification-challenge,uncapped,6,11.73,0.98569,above-med,0,top6ens-total_run_time11.73h.csv,,mlebench-unmodified,01f608d55ff5df1ae6400e45873c67dc18e07feb6e14be76601e9b34b9548051,1.0.0,
